WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.223616928330529 38.637666445706088,-90.223496155047215 38.638016797090977,-90.22344106795363 38.638005377773347,-90.223563661224787 38.637655233962846,-90.223573179821912 38.63765723911748,-90.223616928330529 38.637666445706088))",11023040050,50,10230400500
"POLYGON ((-90.223563661224787 38.637655233962846,-90.22344106795363 38.638005377773347,-90.223375370674347 38.637991755706352,-90.22349686310686 38.637641172746712,-90.223552676870824 38.637652923275873,-90.223563661224787 38.637655233962846))",11023040060,60,10230400600
"POLYGON ((-90.22329355140478 38.637598377833527,-90.223169431880066 38.637949061433538,-90.223087880624831 38.637932153084471,-90.223207236972044 38.637580208850558,-90.22329355140478 38.637598377833527))",11023040100,100,10230401000
"POLYGON ((-90.222769056400978 38.638403160883364,-90.222889772402624 38.638045713792145,-90.222977600396177 38.638064474939455,-90.222856884267188 38.638421923649929,-90.222769056400978 38.638403160883364))",11037000130,130,10370001300
"POLYGON ((-90.222856884267188 38.638421923649929,-90.222977600396177 38.638064474939455,-90.223058672430369 38.638081792865719,-90.222937956440845 38.638439243125966,-90.222856884267188 38.638421923649929))",11037000140,140,10370001400
"POLYGON ((-90.222937956440845 38.638439243125966,-90.223058672430369 38.638081792865719,-90.223143122506514 38.638099832312584,-90.223022406528315 38.638457284156011,-90.222937956440845 38.638439243125966))",11037000150,150,10370001500
"POLYGON ((-90.223022406528315 38.638457284156011,-90.223143122506514 38.638099832312584,-90.223227572628844 38.638117871698626,-90.223106856654979 38.638475325125192,-90.223022406528315 38.638457284156011))",11037000160,160,10370001600
"POLYGON ((-90.223106856654979 38.638475325125192,-90.223227572628844 38.638117871698626,-90.223420119061075 38.638159001271248,-90.22329974613811 38.638516531591335,-90.223106856654979 38.638475325125192))",11037000170,170,10370001700
"POLYGON ((-90.22329974613811 38.638516531591335,-90.223420119061075 38.638159001271248,-90.223589019624939 38.638195079580534,-90.223468303131753 38.638552539670172,-90.22329974613811 38.638516531591335))",11037000180,180,10370001800
"POLYGON ((-90.223468303131753 38.638552539670172,-90.223589019624939 38.638195079580534,-90.223680226003012 38.638214561767839,-90.223559509376827 38.638572023537833,-90.223468303131753 38.638552539670172))",11037000190,190,10370001900
"POLYGON ((-90.223559509376827 38.638572023537833,-90.223680226003012 38.638214561767839,-90.223781566477214 38.638236208559348,-90.223660849704416 38.63859367219856,-90.223559509376827 38.638572023537833))",11037000200,200,10370002000
